"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://medimotive.de/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/","",""
"https://medimotive.de/qms-audit-regulatory-support.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/qms-audit-regulatory-support.html","",""
"https://medimotive.de/assets/images/certificates/regulatory-affairs/bjoern-seiler-post-market-surveillance.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/supplier-quality-complaint-management.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/supplier-quality-complaint-management.html","",""
"https://medimotive.de/rapid-response-troubleshooting.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/rapid-response-troubleshooting.html","",""
"https://medimotive.de/services.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/services.html","",""
"https://medimotive.de/assets/images/homepage_img/Failure_search.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/assets/images/certificates/quality-management/bjoern-seiler-iso-14001-environmental-management.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/assets/styles.css","text/css; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/about.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/about.html","",""
"https://medimotive.de/assets/images/certificates/audit/bjoern-seiler-eoq-quality-auditor.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/ramp-up-process-stability.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/ramp-up-process-stability.html","",""
"https://medimotive.de/privacy.html","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","noindex","https://medimotive.de/privacy.html","noindex, follow",""
"https://medimotive.de/contact.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/contact.html","",""
"https://medimotive.de/case-studies.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/case-studies.html","",""
"https://medimotive.de/assets/images/homepage_img/comPat04.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/early-phase-risk-design-for-quality.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/early-phase-risk-design-for-quality.html","",""
"https://medimotive.de/our-approach.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/our-approach.html","",""
"https://medimotive.de/assets/images/footer-founder-portrait.png","image/png","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/assets/images/certificates/audit/bjoern-seiler-vda-6-3-process-auditor.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/assets/images/homepage_img/project-zone-classification-workshop.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/assets/images/project-experience/hero-production-ramp-up.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/assets/images/homepage_img/comPat01.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/assets/images/homepage_img/project-cmm-contura-measurement.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/assets/images/homepage_img/caliper.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/knowledge-gap-transition-security.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/knowledge-gap-transition-security.html","",""
"https://medimotive.de/assets/images/homepage_img/comPat02.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/certificates.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/certificates.html","",""
"https://medimotive.de/imprint.html","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","noindex","https://medimotive.de/imprint.html","noindex, follow",""
"https://medimotive.de/de/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","noindex","https://medimotive.de/de/","noindex, nofollow",""
"https://medimotive.de/regions.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/regions.html","",""
"https://medimotive.de/assets/app.js","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://medimotive.de/work-journey.html","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://medimotive.de/work-journey.html","",""
